Date,Region,Category,Product,Segment,Units,Revenue,Profit
2023-08-26,Middle East,Electronics,"Vertex Monitor 27"",Consumer,6,1260,380
2023-08-26,Latin America,Accessories,"Mechanical Keyboard",Consumer,7,651,252
2023-08-26,Latin America,Electronics,"Pulse Smartphone",Government,4,2363,543
2023-08-27,Latin America,Software,"Analytics Suite License",Government,2,1438,737
2023-08-27,Asia Pacific,Office Supplies,"Stapler Deluxe",SMB,8,209,53
2023-08-27,Europe,Furniture,"Standing Desk Pro",SMB,7,4057,595
2023-08-28,Middle East,Office Supplies,"Ink Cartridge Pack",SMB,6,236,76
2023-09-05,Europe,Office Supplies,"Stapler Deluxe",Government,4,95,35
2023-09-06,Latin America,Accessories,"Mechanical Keyboard",Consumer,7,562,206
2023-09-07,North America,Office Supplies,"Ink Cartridge Pack",Government,6,476,208
2023-09-09,North America,Software,"Security Shield Pro",SMB,6,3981,2696
2023-09-09,Europe,Accessories,"Wireless Mouse",Enterprise,2,77,31
2023-09-10,Middle East,Office Supplies,"Premium Notebook Set",Consumer,5,76,30
2023-09-11,North America,Electronics,"Echo Wireless Earbuds",Consumer,10,1526,435
2023-09-11,Latin America,Accessories,"USB-C Hub",Consumer,3,100,45
2023-09-11,North America,Accessories,"USB-C Hub",Government,3,171,63
2023-09-11,Europe,Accessories,"Laptop Sleeve",SMB,10,365,140
2023-09-11,North America,Office Supplies,"Stapler Deluxe",Enterprise,8,222,90
2023-09-11,North America,Furniture,"Standing Desk Pro",Government,3,1957,239
2023-09-12,Asia Pacific,Accessories,"Mechanical Keyboard",Government,5,509,136
2023-09-13,Middle East,Furniture,"Ergo Office Chair",SMB,5,808,125
2023-09-14,North America,Office Supplies,"Ink Cartridge Pack",SMB,1,79,22
2023-09-14,Asia Pacific,Software,"Analytics Suite License",Government,8,10765,6974
2023-09-15,Europe,Furniture,"Ergo Office Chair",SMB,9,2872,325
2023-09-15,Middle East,Office Supplies,"Premium Notebook Set",Enterprise,5,81,24
2023-09-18,Europe,Software,"Security Shield Pro",SMB,10,6514,3586
2023-09-20,Asia Pacific,Electronics,"Echo Wireless Earbuds",Consumer,9,1136,195
2023-09-21,Asia Pacific,Furniture,"Conference Table XL",SMB,4,3975,522
2023-09-21,North America,Furniture,"Ergo Office Chair",SMB,11,3434,254
2023-09-21,North America,Accessories,"Laptop Sleeve",Consumer,4,146,57
2023-09-22,Middle East,Software,"Design Studio License",Enterprise,5,2261,1525
2023-09-23,Middle East,Electronics,"Pulse Smartphone",Enterprise,1,455,122
2023-10-01,Asia Pacific,Software,"Security Shield Pro",Government,6,3803,2753
2023-10-04,North America,Electronics,"Echo Wireless Earbuds",Government,4,616,125
2023-10-05,North America,Electronics,"Vertex Monitor 27"",Consumer,8,2812,419
2023-10-06,North America,Software,"Cloud Backup Plan",Enterprise,7,1633,997
2023-10-06,North America,Accessories,"USB-C Hub",Enterprise,1,65,26
2023-10-06,Middle East,Software,"Analytics Suite License",Government,3,2204,1609
2023-10-11,Latin America,Office Supplies,"Premium Notebook Set",SMB,4,68,13
2023-10-13,Europe,Accessories,"Laptop Sleeve",Enterprise,2,58,16
2023-10-13,Asia Pacific,Accessories,"USB-C Hub",Enterprise,8,439,134
2023-10-14,Latin America,Furniture,"Ergo Office Chair",Consumer,1,240,27
2023-10-14,Middle East,Accessories,"USB-C Hub",SMB,7,249,100
2023-10-15,Middle East,Furniture,"Ergo Office Chair",Enterprise,3,567,107
2023-10-17,Europe,Software,"Security Shield Pro",SMB,6,3576,2026
2023-10-17,Asia Pacific,Software,"Analytics Suite License",SMB,8,10273,6479
2023-10-17,Latin America,Software,"Analytics Suite License",Government,2,1502,804
2023-10-17,North America,Electronics,"Pulse Smartphone",Government,11,9490,1511
2023-10-18,Europe,Office Supplies,"Ink Cartridge Pack",Enterprise,5,362,146
2023-10-19,Europe,Software,"Cloud Backup Plan",SMB,4,928,624
2023-10-21,Middle East,Furniture,"Modular Bookshelf",Government,4,532,102
2023-10-22,Middle East,Office Supplies,"Label Printer",Government,5,527,236
2023-10-22,Middle East,Electronics,"Vertex Monitor 27"",Enterprise,1,179,46
2023-10-22,North America,Office Supplies,"Premium Notebook Set",Consumer,6,199,80
2023-10-25,Europe,Electronics,"Pulse Smartphone",Government,3,2236,527
2023-10-26,Middle East,Office Supplies,"Ink Cartridge Pack",Government,7,268,71
2023-10-28,North America,Software,"Design Studio License",Consumer,10,9193,6606
2023-10-28,Middle East,Software,"Design Studio License",Government,3,1429,1033
2023-11-02,Asia Pacific,Furniture,"Modular Bookshelf",Government,11,2190,405
2023-11-04,Middle East,Furniture,"Modular Bookshelf",Consumer,3,350,70
2023-11-05,Latin America,Furniture,"Standing Desk Pro",Enterprise,2,724,134
2023-11-07,North America,Electronics,"Nimbus Tablet",Government,2,1201,317
2023-11-08,Latin America,Office Supplies,"Label Printer",Enterprise,6,685,229
2023-11-09,Latin America,Office Supplies,"Premium Notebook Set",Enterprise,3,51,20
2023-11-09,Asia Pacific,Electronics,"Echo Wireless Earbuds",Enterprise,10,1331,273
2023-11-09,Europe,Office Supplies,"Stapler Deluxe",Enterprise,11,254,108
2023-11-09,Middle East,Office Supplies,"Ink Cartridge Pack",SMB,4,158,42
2023-11-10,Middle East,Accessories,"USB-C Hub",Consumer,2,64,29
2023-11-15,Europe,Furniture,"Standing Desk Pro",SMB,10,5241,792
2023-11-15,Europe,Software,"Design Studio License",Government,4,2288,1216
2023-11-15,Latin America,Electronics,"Echo Wireless Earbuds",Government,8,823,173
2023-11-16,North America,Electronics,"Pulse Smartphone",Enterprise,11,10229,2991
2023-11-17,Asia Pacific,Software,"Design Studio License",Enterprise,11,7469,4427
2023-11-17,Latin America,Software,"Analytics Suite License",SMB,2,1606,1175
2023-11-17,Europe,Software,"Design Studio License",Government,4,2670,1488
2023-11-21,Middle East,Accessories,"Laptop Sleeve",Consumer,3,63,29
2023-11-22,Middle East,Software,"Design Studio License",Government,4,1562,1135
2023-11-23,Latin America,Software,"Security Shield Pro",Consumer,2,798,576
2023-11-24,Asia Pacific,Accessories,"Mechanical Keyboard",Government,4,469,209
2023-11-24,Latin America,Software,"Design Studio License",Government,1,486,293
2023-11-25,Latin America,Office Supplies,"Premium Notebook Set",SMB,4,68,23
2023-11-25,Europe,Office Supplies,"Premium Notebook Set",Consumer,7,191,73
2023-11-26,Latin America,Accessories,"Mechanical Keyboard",Enterprise,4,286,85
2023-11-27,Latin America,Office Supplies,"Label Printer",Consumer,7,954,337
2023-12-01,Middle East,Office Supplies,"Ink Cartridge Pack",Consumer,1,37,17
2023-12-02,Middle East,Office Supplies,"Stapler Deluxe",Enterprise,4,50,17
2023-12-03,Europe,Accessories,"Laptop Sleeve",Enterprise,2,60,19
2023-12-03,Middle East,Furniture,"Standing Desk Pro",Enterprise,6,1791,193
2023-12-05,North America,Accessories,"Laptop Sleeve",Enterprise,11,432,181
2023-12-05,Asia Pacific,Accessories,"USB-C Hub",Enterprise,4,200,60
2023-12-09,Europe,Furniture,"Ergo Office Chair",Government,4,980,141
2023-12-10,Latin America,Electronics,"Aurora Laptop 14"",Consumer,5,3729,1068
2023-12-10,Middle East,Electronics,"Nimbus Tablet",Consumer,1,297,76
2023-12-12,Asia Pacific,Accessories,"USB-C Hub",Government,11,579,252
2023-12-12,Latin America,Furniture,"Standing Desk Pro",Consumer,4,1521,305
2023-12-12,North America,Furniture,"Standing Desk Pro",Consumer,4,2163,258
2023-12-13,Latin America,Furniture,"Standing Desk Pro",Government,6,2428,448
2023-12-15,Middle East,Furniture,"Ergo Office Chair",Consumer,1,163,17
2023-12-16,Europe,Electronics,"Echo Wireless Earbuds",Government,6,795,164
2023-12-17,Middle East,Software,"Cloud Backup Plan",SMB,2,263,167
2023-12-17,Asia Pacific,Software,"Design Studio License",Enterprise,3,2336,1582
2023-12-18,Latin America,Office Supplies,"Stapler Deluxe",Government,7,82,24
2023-12-19,Middle East,Office Supplies,"Stapler Deluxe",Consumer,4,50,15
2023-12-19,Latin America,Software,"Security Shield Pro",Government,3,1166,698
2023-12-21,North America,Furniture,"Ergo Office Chair",SMB,3,1131,237
2023-12-22,Asia Pacific,Office Supplies,"Ink Cartridge Pack",SMB,10,618,171
2023-12-23,North America,Office Supplies,"Stapler Deluxe",Government,2,47,18
2023-12-24,Asia Pacific,Software,"Security Shield Pro",Enterprise,3,2083,1563
2023-12-24,North America,Electronics,"Nimbus Tablet",SMB,6,3776,1027
2023-12-25,Europe,Furniture,"Standing Desk Pro",Enterprise,1,483,100
2023-12-28,Europe,Office Supplies,"Label Printer",Government,6,1144,418
2023-12-28,Asia Pacific,Software,"Analytics Suite License",Consumer,4,4841,3504
2024-01-02,Asia Pacific,Electronics,"Nimbus Tablet",SMB,9,4610,1167
2024-01-03,Europe,Software,"Cloud Backup Plan",Enterprise,3,779,588
2024-01-05,Latin America,Office Supplies,"Stapler Deluxe",Enterprise,8,106,33
2024-01-06,Asia Pacific,Accessories,"Wireless Mouse",Enterprise,5,264,83
2024-01-07,Latin America,Software,"Analytics Suite License",Government,3,2792,2030
2024-01-09,Middle East,Office Supplies,"Label Printer",Government,2,244,102
2024-01-10,North America,Software,"Design Studio License",Enterprise,1,796,496
2024-01-10,Middle East,Software,"Analytics Suite License",Consumer,6,4021,2233
2024-01-10,Asia Pacific,Accessories,"Wireless Mouse",Enterprise,11,481,179
2024-01-11,North America,Furniture,"Modular Bookshelf",Enterprise,11,2417,260
2024-01-13,North America,Office Supplies,"Ink Cartridge Pack",Enterprise,8,612,222
2024-01-13,Europe,Software,"Cloud Backup Plan",SMB,9,2092,1500
2024-01-14,Europe,Electronics,"Vertex Monitor 27"",SMB,2,787,176
2024-01-14,North America,Furniture,"Conference Table XL",SMB,10,12790,2397
2024-01-16,North America,Accessories,"Mechanical Keyboard",Government,2,256,111
2024-01-16,Latin America,Accessories,"USB-C Hub",Government,4,169,84
2024-01-18,North America,Electronics,"Vertex Monitor 27"",Enterprise,12,5196,976
2024-01-19,Middle East,Electronics,"Aurora Laptop 14"",Government,4,2662,661
2024-01-20,North America,Office Supplies,"Label Printer",Government,10,1657,490
2024-01-22,Asia Pacific,Accessories,"Wireless Mouse",Enterprise,6,246,56
2024-01-23,Latin America,Furniture,"Modular Bookshelf",Consumer,1,146,19
2024-01-23,Europe,Office Supplies,"Ink Cartridge Pack",Consumer,7,505,185
2024-01-23,North America,Software,"Security Shield Pro",Enterprise,11,7793,5057
2024-01-23,Europe,Electronics,"Pulse Smartphone",Government,7,5535,1238
2024-01-26,Latin America,Accessories,"Laptop Sleeve",Government,4,93,29
2024-02-01,Middle East,Software,"Security Shield Pro",Enterprise,1,462,339
2024-02-01,North America,Electronics,"Echo Wireless Earbuds",Government,4,711,213
2024-02-01,Middle East,Electronics,"Pulse Smartphone",Consumer,6,3459,720
2024-02-02,North America,Accessories,"USB-C Hub",SMB,7,494,233
2024-02-03,Asia Pacific,Electronics,"Echo Wireless Earbuds",Enterprise,11,1591,444
2024-02-05,North America,Office Supplies,"Stapler Deluxe",Enterprise,6,163,41
2024-02-05,Europe,Office Supplies,"Label Printer",Consumer,2,437,129
2024-02-06,Middle East,Office Supplies,"Stapler Deluxe",Enterprise,5,64,22
2024-02-07,North America,Electronics,"Vertex Monitor 27"",SMB,2,831,202
2024-02-07,Middle East,Electronics,"Nimbus Tablet",SMB,1,340,75
2024-02-07,North America,Software,"Analytics Suite License",Enterprise,10,12995,6972
2024-02-08,Middle East,Accessories,"USB-C Hub",SMB,4,143,43
2024-02-09,North America,Software,"Design Studio License",SMB,11,8078,4688
2024-02-09,Asia Pacific,Office Supplies,"Stapler Deluxe",Consumer,1,26,10
2024-02-12,Middle East,Software,"Cloud Backup Plan",Consumer,5,773,436
2024-02-14,North America,Furniture,"Modular Bookshelf",Consumer,12,3432,486
2024-02-14,Middle East,Accessories,"Wireless Mouse",Enterprise,3,91,38
2024-02-15,Latin America,Accessories,"Mechanical Keyboard",SMB,5,479,223
2024-02-16,North America,Office Supplies,"Ink Cartridge Pack",Government,5,417,149
2024-02-17,Asia Pacific,Office Supplies,"Label Printer",Enterprise,8,1675,458
2024-02-17,Asia Pacific,Electronics,"Nimbus Tablet",Enterprise,12,7203,1655
2024-02-18,Middle East,Software,"Security Shield Pro",Government,7,2796,1696
2024-02-20,North America,Accessories,"USB-C Hub",Enterprise,6,406,192
2024-02-20,Europe,Office Supplies,"Stapler Deluxe",SMB,8,197,53
2024-02-22,Middle East,Furniture,"Standing Desk Pro",Enterprise,2,632,96
2024-02-22,Latin America,Furniture,"Conference Table XL",Enterprise,4,2829,305
2024-02-23,North America,Furniture,"Ergo Office Chair",Enterprise,12,4530,644
2024-02-23,Middle East,Furniture,"Ergo Office Chair",Government,3,574,105
2024-02-24,North America,Accessories,"Laptop Sleeve",Enterprise,3,127,43
2024-02-24,Europe,Office Supplies,"Stapler Deluxe",Government,5,124,50
2024-02-25,North America,Software,"Security Shield Pro",SMB,12,8362,5980
2024-02-25,North America,Software,"Cloud Backup Plan",Government,6,1518,834
2024-02-26,Europe,Furniture,"Conference Table XL",SMB,10,9403,569
2024-03-01,Middle East,Software,"Design Studio License",Enterprise,2,991,711
2024-03-02,Asia Pacific,Office Supplies,"Stapler Deluxe",Consumer,7,174,48
2024-03-03,North America,Furniture,"Standing Desk Pro",SMB,5,3953,713
2024-03-04,Europe,Accessories,"Mechanical Keyboard",Consumer,1,146,52
2024-03-04,North America,Accessories,"Laptop Sleeve",Consumer,13,574,197
2024-03-06,Middle East,Electronics,"Vertex Monitor 27"",Consumer,5,1097,137
2024-03-06,Asia Pacific,Electronics,"Echo Wireless Earbuds",SMB,7,994,198
2024-03-06,Europe,Software,"Security Shield Pro",Consumer,1,673,402
2024-03-07,Asia Pacific,Electronics,"Aurora Laptop 14"",SMB,10,11283,2613
2024-03-07,Middle East,Accessories,"Mechanical Keyboard",Enterprise,7,575,271
2024-03-08,Middle East,Accessories,"USB-C Hub",Government,2,64,24
2024-03-08,Europe,Furniture,"Modular Bookshelf",Enterprise,5,1088,214
2024-03-09,Middle East,Accessories,"Laptop Sleeve",Consumer,2,47,19
2024-03-10,Europe,Electronics,"Aurora Laptop 14"",SMB,11,15883,5121
2024-03-10,Asia Pacific,Office Supplies,"Label Printer",Consumer,2,422,131
2024-03-11,Middle East,Software,"Cloud Backup Plan",Consumer,2,330,249
2024-03-11,Asia Pacific,Software,"Security Shield Pro",Enterprise,9,5397,3734
2024-03-12,Europe,Office Supplies,"Ink Cartridge Pack",SMB,10,674,202
2024-03-13,Middle East,Accessories,"USB-C Hub",Government,5,209,64
2024-03-13,North America,Software,"Cloud Backup Plan",Enterprise,6,1860,1110
2024-03-13,Asia Pacific,Office Supplies,"Ink Cartridge Pack",Consumer,9,665,246
2024-03-15,Middle East,Software,"Design Studio License",Government,6,2862,2149
2024-03-15,Middle East,Furniture,"Modular Bookshelf",Government,7,923,149
2024-03-17,Europe,Furniture,"Modular Bookshelf",Consumer,8,1738,267
2024-03-17,North America,Furniture,"Standing Desk Pro",Consumer,7,4842,610
2024-03-17,Latin America,Furniture,"Conference Table XL",Consumer,3,2514,415
2024-03-18,Asia Pacific,Office Supplies,"Stapler Deluxe",SMB,9,222,92
2024-03-18,Asia Pacific,Software,"Analytics Suite License",Government,5,7825,4812
2024-03-18,Asia Pacific,Electronics,"Echo Wireless Earbuds",Enterprise,8,1238,196
2024-03-19,North America,Office Supplies,"Label Printer",Enterprise,3,784,235
2024-03-19,Latin America,Software,"Security Shield Pro",Consumer,2,1055,618
2024-03-21,Middle East,Office Supplies,"Stapler Deluxe",SMB,2,30,8
2024-03-21,Latin America,Office Supplies,"Ink Cartridge Pack",Consumer,4,154,57
2024-03-25,Latin America,Furniture,"Ergo Office Chair",SMB,2,533,59
2024-03-25,Latin America,Software,"Cloud Backup Plan",Government,1,190,147
2024-03-25,Asia Pacific,Office Supplies,"Stapler Deluxe",Enterprise,3,80,20
2024-03-26,Middle East,Furniture,"Standing Desk Pro",Government,4,1557,335
2024-03-26,Middle East,Accessories,"USB-C Hub",Consumer,2,76,33
2024-03-27,Europe,Office Supplies,"Label Printer",Consumer,11,2477,696
2024-03-27,North America,Software,"Cloud Backup Plan",Government,10,3135,1691
2024-03-27,Latin America,Electronics,"Pulse Smartphone",SMB,7,4748,1120
2024-03-28,Latin America,Electronics,"Aurora Laptop 14"",Enterprise,1,1017,276
2024-04-01,Middle East,Office Supplies,"Stapler Deluxe",SMB,4,69,24
2024-04-02,Asia Pacific,Office Supplies,"Stapler Deluxe",Government,4,103,35
2024-04-04,Middle East,Office Supplies,"Label Printer",SMB,1,143,53
2024-04-05,Europe,Accessories,"USB-C Hub",Government,4,253,90
2024-04-05,North America,Accessories,"USB-C Hub",SMB,3,218,96
2024-04-06,North America,Accessories,"Laptop Sleeve",SMB,10,483,208
2024-04-07,North America,Software,"Security Shield Pro",Enterprise,3,2719,2057
2024-04-07,Asia Pacific,Electronics,"Aurora Laptop 14"",Government,4,5579,1049
2024-04-07,North America,Office Supplies,"Label Printer",Government,2,441,86
2024-04-09,Europe,Office Supplies,"Premium Notebook Set",Enterprise,7,257,99
2024-04-09,Asia Pacific,Furniture,"Conference Table XL",Enterprise,8,10418,1951
2024-04-09,North America,Electronics,"Pulse Smartphone",Government,10,10523,3094
2024-04-10,Europe,Electronics,"Vertex Monitor 27"",Enterprise,11,5199,1035
2024-04-11,Europe,Accessories,"USB-C Hub",Government,9,652,312
2024-04-12,Latin America,Accessories,"Laptop Sleeve",Enterprise,1,29,12
2024-04-13,Latin America,Furniture,"Ergo Office Chair",Consumer,4,1039,66
2024-04-13,Middle East,Furniture,"Standing Desk Pro",SMB,2,784,137
2024-04-14,Asia Pacific,Furniture,"Conference Table XL",Government,11,13332,2532
2024-04-15,Middle East,Software,"Analytics Suite License",Consumer,2,1559,1120
2024-04-15,Latin America,Accessories,"USB-C Hub",Government,1,49,16
2024-04-16,North America,Accessories,"Mechanical Keyboard",Consumer,11,1755,817
2024-04-18,Latin America,Electronics,"Echo Wireless Earbuds",SMB,8,994,233
2024-04-20,Europe,Furniture,"Ergo Office Chair",Government,4,1686,288
2024-04-20,Europe,Software,"Design Studio License",SMB,2,1817,1000
2024-04-22,Middle East,Electronics,"Aurora Laptop 14"",Government,5,4252,680
2024-04-22,Asia Pacific,Furniture,"Standing Desk Pro",Government,9,6721,1446
2024-04-22,Europe,Furniture,"Modular Bookshelf",Enterprise,2,498,81
2024-04-23,Latin America,Electronics,"Vertex Monitor 27"",Government,6,2046,645
2024-04-25,Europe,Office Supplies,"Premium Notebook Set",Consumer,11,369,145
2024-04-25,North America,Electronics,"Aurora Laptop 14"",SMB,7,13277,3182
2024-04-26,Asia Pacific,Office Supplies,"Premium Notebook Set",Enterprise,4,132,44
2024-04-26,Latin America,Electronics,"Pulse Smartphone",Enterprise,4,2580,866
2024-04-26,Europe,Software,"Design Studio License",Enterprise,8,6123,3641
2024-04-26,North America,Furniture,"Modular Bookshelf",Consumer,13,4391,507
2024-04-27,Middle East,Office Supplies,"Premium Notebook Set",Enterprise,6,122,41
2024-04-27,North America,Office Supplies,"Premium Notebook Set",Government,2,86,27
2024-04-27,Middle East,Accessories,"USB-C Hub",Government,6,261,129
2024-04-28,Asia Pacific,Electronics,"Aurora Laptop 14"",Government,1,1671,398
2024-04-28,North America,Electronics,"Pulse Smartphone",Consumer,12,13025,2454
2024-04-28,North America,Office Supplies,"Premium Notebook Set",SMB,6,235,100
2024-04-28,North America,Software,"Security Shield Pro",Government,4,3921,2450
2024-05-01,Middle East,Accessories,"Laptop Sleeve",Enterprise,7,200,75
2024-05-01,Latin America,Software,"Analytics Suite License",Government,4,4565,2848
2024-05-01,Latin America,Accessories,"Wireless Mouse",Government,4,152,59
2024-05-02,Middle East,Software,"Cloud Backup Plan",SMB,1,174,115
2024-05-03,Middle East,Furniture,"Conference Table XL",Enterprise,4,2789,171
2024-05-04,Europe,Electronics,"Nimbus Tablet",SMB,10,6321,2083
2024-05-04,Asia Pacific,Office Supplies,"Label Printer",SMB,11,2605,1049
2024-05-06,Asia Pacific,Accessories,"USB-C Hub",Enterprise,11,895,398
2024-05-06,North America,Office Supplies,"Stapler Deluxe",Enterprise,3,96,32
2024-05-07,Middle East,Electronics,"Aurora Laptop 14"",SMB,7,6015,1337
2024-05-07,Asia Pacific,Furniture,"Conference Table XL",Government,4,5375,832
2024-05-09,North America,Accessories,"Wireless Mouse",Government,2,146,55
2024-05-09,Latin America,Office Supplies,"Ink Cartridge Pack",SMB,6,350,115
2024-05-11,Latin America,Electronics,"Pulse Smartphone",Government,2,1614,291
2024-05-11,Europe,Office Supplies,"Ink Cartridge Pack",SMB,5,407,139
2024-05-12,Europe,Furniture,"Conference Table XL",Enterprise,3,3527,713
2024-05-13,Latin America,Furniture,"Modular Bookshelf",Enterprise,1,190,30
2024-05-14,Europe,Furniture,"Modular Bookshelf",SMB,7,1873,350
2024-05-14,Asia Pacific,Office Supplies,"Stapler Deluxe",Enterprise,12,328,105
2024-05-14,North America,Accessories,"Wireless Mouse",Consumer,5,331,136
2024-05-14,North America,Software,"Cloud Backup Plan",Government,9,2998,2205
2024-05-15,Latin America,Software,"Design Studio License",Enterprise,7,5024,3676
2024-05-15,Latin America,Furniture,"Standing Desk Pro",Government,6,2721,587
2024-05-15,Asia Pacific,Furniture,"Standing Desk Pro",SMB,4,2814,441
2024-05-15,North America,Office Supplies,"Ink Cartridge Pack",Consumer,12,1076,375
2024-05-16,Middle East,Office Supplies,"Ink Cartridge Pack",Enterprise,3,166,60
2024-05-16,Latin America,Software,"Analytics Suite License",SMB,4,4741,3651
2024-05-17,Europe,Office Supplies,"Premium Notebook Set",SMB,7,243,64
2024-05-17,North America,Accessories,"USB-C Hub",Government,9,770,274
2024-05-17,Europe,Furniture,"Ergo Office Chair",Consumer,3,1067,119
2024-05-18,Middle East,Furniture,"Conference Table XL",SMB,5,3554,524
2024-05-19,Europe,Electronics,"Echo Wireless Earbuds",Enterprise,6,816,130
2024-05-22,Europe,Software,"Design Studio License",Government,4,3542,2158
2024-05-22,Asia Pacific,Electronics,"Vertex Monitor 27"",SMB,5,2235,609
2024-05-22,Latin America,Furniture,"Modular Bookshelf",Government,4,793,87
2024-05-24,North America,Office Supplies,"Premium Notebook Set",Consumer,4,167,57
2024-05-24,Europe,Furniture,"Ergo Office Chair",Government,8,3070,372
2024-05-24,Europe,Office Supplies,"Stapler Deluxe",SMB,1,31,8
